Place_Id,Place_Name,Culinary_Ratings,Category,Address,Description,Coordinate,Lat,Long,Gmaps_Address,Image_Address
1,Purnawarman Restaurant,4.5,Seafood,"Cicendo, Kota Bandung","Menyajikan menu buffet dengan hidangan seafood, sushi, sop buntut dan pilihan menu internasional lainnya.","{'lat': -6.907839576390254, 'lng':107.59639803207173}",-6.907839576,107.596398,https://maps.app.goo.gl/JtJTxhjhFJNz5eJx5,https://lh5.googleusercontent.com/p/AF1QipPJP2df0lrCzjIDuliTI6iedeCICE-HM-RuLCmz=w122-h92-k-no
2,Dakken Restaurant,4.5,Western,"Bandung Wetan, Kota Bandung","Makanan yang disajikan pun beragam, dari spaggeti, chiken maryland dan masih banyak lagi. Bumbu yang sangat lezat dan harga yang cukup terjangkau membuat tempat ini ramai dikunjungi.","{'lat':-6.90017082728352, 'lng':107.61768404299065}",-6.900170827,107.617684,https://maps.app.goo.gl/jNdM6dwB75VYEwgJ7,https://lh5.googleusercontent.com/p/AF1QipMgArJO4XLcHdLR4hmston3fju71aKnFsdegGqX=w163-h92-k-no
3,Warung Suluh Restaurant,4.4,Indonesian,"Cicendo, Kota Bandung","Tempat makanan ini menyediakan beragam menu yang dapat dipilih sesuai keinginan para pecinta kuliner. Menu tersedia mulai dari variasi nasi goreng, olahan ayam, sapi, bebek, roti goreng, roti bakar, nasi dan mie, ikan, iga, sate, penyetan, oseng, aneka minuman dan masih banyak lagi.","{'lat':-6.9037495923328835, 'lng':107.59948793688255}",-6.903749592,107.5994879,https://maps.app.goo.gl/noWxDLUkQ6BZNSe26,https://lh5.googleusercontent.com/p/AF1QipNRV4As4xg8w3OMey01WE51jMcNh75KNQ6JgLLP=w122-h92-k-no
4,Miss Bee Providore,4.5,Cafe,"Cidadap, Kota Bandung","Cafe luas dengan area duduk terbuka & tertutup kaca yang menyajikan hidangan lokal & gaya Barat, plus kue.","{'lat':-6.864075995849507, 'lng':107.60888107249602}",-6.864075996,107.6088811,https://maps.app.goo.gl/CjcYvVrmaduM4qdcA,https://lh5.googleusercontent.com/p/AF1QipOiksDfOd_JoTD909q9olcx3x-U3mP1xvhuj4nX=w92-h92-k-no
5,Braga Permai,4.5,Western,"Sumur Bandung, Kota Bandung",Hidangan internasional disajikan di restoran bergaya minimalis dengan teras & musik live pada akhir pekan.,"{'lat':-6.913126165281592, 'lng':107.60888107249602}",-6.913126165,107.6088811,https://maps.app.goo.gl/K4G2PQGaLLoiz6A29,https://lh5.googleusercontent.com/p/AF1QipO08xDs6MAxCO1TCsVw_mRb-OonDXaNsG9WQA_6=w122-h92-k-no
6,Nara Park Bandung,4.5,Cafe,"Cidadap, Kota Bandung","Destinasi pinggiran kota kelas atas dengan restoran, lounge, dan kedai kopi di taman yang luas.","{'lat':-6.8649365688081545, 'lng':107.6093144657346}",-6.864936569,107.6093145,https://maps.app.goo.gl/Jn3SdXqnA71anxTK8,https://lh5.googleusercontent.com/p/AF1QipNFD_FYuWdkDD00yM_fkkFKAjl11HS6wqpkj3S3=w163-h92-k-no
7,Saffron Restaurant,4.7,Western,"Bandung Wetan, Kota Bandung","Menyediakan pengalaman bersantap internasional yang lengkap dengan stasiun memasak langsung, Saffron Restaurant di Four Points by Sheraton Bandung adalah destinasi makan sepanjang hari yang luas dan menarik untuk difoto. Dengan desain neo-kolonial yang memikat, ruang makan ini menampilkan langit-langit tinggi yang dihiasi dengan lampu gantung bergaya retro yang kontras dengan dekorasi yang ringan serta lantai keramik hitam dan putih. Tempat duduk dalam yang nyaman dilengkapi dengan teras bergaya, menggunakan kayu gelap dan rotan dengan sentuhan kuning yang mencolok. Sementara itu, teras luar dilengkapi dengan perabotan klasik untuk menciptakan suasana yang unik.","lat':-6.895916157437927, 'lng':107.61083134206967}",-6.895916157,107.6108313,https://maps.app.goo.gl/QthU6YitPbLsWzE8A,https://lh5.googleusercontent.com/p/AF1QipPCFCxvvcPggaV-X54RPGaSgPshQltLAj-WTvDY=w140-h92-k-no
8,Kehidupan Tidak Pernah Berakhir,4.5,Indonesian,"Cicendo, Kota Bandung",Tempat makan santai ini menyajikan aneka menu vegan dengan sistem prasmanan; tersedia menu paket.,"{'lat':-6.90129435212265, 'lng':107.59761284829263}",-6.901294352,107.5976128,https://maps.app.goo.gl/hHsNd7vL2WnCUp6U7,https://lh5.googleusercontent.com/p/AF1QipOf1ghNC1Kqh9-R6gSmLO8lQ_Ix04b70v4RjifL=w122-h92-k-no
9,Raja Rasa,4.5,Seafood,"Sukasari, Kota Bandung","Sundanese restaurant yang sering kali disebut oleh teman-teman dari luar kota sebagai yang paling terkenal adalah Raja Rasa. Banyak yang mengatakan bahwa makanan di sini sangat segar, bumbunya lezat, dan layanan pelanggan yang cepat. Meskipun selalu ramai, tetapi suasana tetap nyaman, dengan interior yang cenderung terang dan cocok untuk acara berkumpul. Suasana di Raja Rasa berbeda dengan Sundanese restaurant lainnya.","{'lat':-6.875263322877598, 'lng':107.58374426465767}",-6.875263323,107.5837443,https://maps.app.goo.gl/XD8pg9cv51BA4C1v7,https://lh5.googleusercontent.com/p/AF1QipOD_k4H8-MR5RmfEIKmec9_U9nycBVHASs4YmXK=w122-h92-k-no
10,The Stone Cafe,4.4,Western,"Cimenyan, Kabupaten Bandung",Restoran kasual terbuka yang menyajikan masakan internasional di bangunan bertingkat tiga & berpanorama indah.,"}'lat':-6.859342816769343, 'lng':107.62816707161336}",-6.859342817,107.6281671,https://maps.app.goo.gl/ptJ8XdUtuJBb44Zq5,https://lh5.googleusercontent.com/p/AF1QipPggug0aZw-HhQsgXNJgfiDWxNJCf_HIgkvnxb6=w122-h92-k-no
11,Karnivor Restaurant,4.5,Western,"Bandung Wetan, Kota Bandung","Restoran yang menyajikan aneka hidangan steak dan barbeque dengan saus spesial, juga jasa antar.","{'lat':-6.902800235686768, 'lng':107.62404983584673}",-6.902800236,107.6240498,https://maps.app.goo.gl/sxVZerXCWJfkV6Et6,https://lh5.googleusercontent.com/p/AF1QipPxz7rgiG1IABl2uLIKRudDZRozkElcwyX1Mphy=w122-h92-k-no
