User_Id,Place_Id,Culinary_Ratings
1,5,5
1,15,3
1,20,4
1,21,2
1,41,5
1,48,2
1,67,4
1,76,2
1,89,3
1,101,4
1,103,3
1,154,2
1,179,3
1,208,5
1,222,3
1,246,4
1,258,5
1,265,5
1,292,3
1,302,2
1,307,4
1,312,2
1,328,2
1,328,2
1,336,4
1,344,2
2,2,5
2,18,5
2,23,3
2,78,5
2,85,4
2,105,2
2,107,2
2,111,2
2,147,2
2,166,2
2,167,2
2,176,3
2,185,2
2,208,5
2,208,3
2,262,3
2,281,2
2,321,3
2,322,4
2,367,2
2,371,3
3,17,5
3,24,4
3,33,4
3,48,2
3,54,2
3,70,3
3,86,4
3,100,4
3,104,3
3,105,5
3,118,2
3,128,5
3,131,4
3,134,3
3,176,2
3,193,2
3,198,5
3,202,5
3,202,3
3,223,5
3,227,2
3,228,3
3,237,3
3,249,3
3,250,2
3,283,3
3,310,3
3,319,5
4,4,4
4,5,5
4,14,5
4,15,4
4,43,5
4,44,2
4,50,2
4,74,2
4,82,3
4,88,3
4,91,3
4,97,2
4,193,5
4,229,2
4,242,4
4,268,4
4,290,3
4,294,5
4,309,5
4,312,3
4,348,5
5,4,3
5,9,5
5,27,2
5,55,5
5,61,3
5,67,4
5,68,5
5,115,3
5,138,2
5,143,4
5,151,5
5,159,2
5,166,3
5,190,2
5,283,4
5,300,4
5,301,2
5,301,2
5,321,3
5,321,3
5,335,3
5,346,4
5,368,3
6,4,4
6,64,5
6,64,5
6,88,5
6,92,2
6,102,4
6,116,5
6,119,2
6,121,4
6,166,5
6,178,3
6,219,2
6,224,5
6,243,5
6,257,2
6,266,3
6,298,3
6,334,2
6,346,5
6,348,2
6,359,2
7,13,2
7,31,3
7,77,5
7,77,3
7,88,4
7,99,4
7,107,2
7,126,5
7,129,4
7,148,3
7,183,5
7,183,4
7,192,5
7,213,3
7,213,3
7,228,3
7,237,5
7,247,4
7,255,5
7,269,3
7,290,4
7,296,3
7,298,4
7,303,4
8,25,5
8,30,3
8,45,2
8,56,2
8,89,3
8,98,5
8,98,2
8,130,3
8,143,5
8,158,5
8,164,5
8,173,3
8,202,3
8,223,5
8,235,4
8,238,3
8,267,4
8,275,3
8,290,2
8,294,4
8,301,3
8,306,4
8,306,2
8,322,5
8,368,2
9,28,5
9,30,3
9,30,2
9,54,3
9,55,4
9,95,5
9,105,2
9,188,4
9,196,4
9,204,2
9,204,2
9,206,3
9,211,3
9,225,5
9,233,4
9,233,5
9,242,3
9,246,5
9,253,4
9,264,3
9,265,4
9,304,4
9,310,4
9,331,4
9,341,5
10,12,2
10,18,5
10,23,2
10,35,4
10,36,4
10,42,3
10,63,5
10,67,5
10,75,4
